iter	MultiClass
0	1.003988615
1	0.9280862309
2	0.8679453584
3	0.8167774852
4	0.7743425752
5	0.7402017028
6	0.7097709782
7	0.6840078335
8	0.6616997251
9	0.6431366363
10	0.6250087361
11	0.6099198895
12	0.5950862356
13	0.5829689843
14	0.5718686042
15	0.5611455682
16	0.5522377878
17	0.5438731271
18	0.536788922
19	0.5306404924
20	0.5243683826
21	0.5189335715
22	0.5138691277
23	0.509630737
24	0.5053727228
25	0.5020477058
26	0.4985647042
27	0.4962424303
28	0.4931905774
29	0.4901068376
30	0.4878964834
31	0.4850523761
32	0.4827734995
33	0.4807616337
34	0.4791466064
35	0.4773644365
36	0.4758565111
37	0.4746724329
38	0.473223374
39	0.4718662225
40	0.4707981399
41	0.4695415857
42	0.4683340057
43	0.4675719942
44	0.4665836648
45	0.4655233291
46	0.4646980819
47	0.4640036457
48	0.463091902
49	0.4622020874
50	0.461707772
51	0.4613877888
52	0.4610545476
53	0.4602931606
54	0.45980886
55	0.4594041877
56	0.4589221179
57	0.4585009921
58	0.4579050584
59	0.4572908824
60	0.4568861634
61	0.4565188958
62	0.4559908436
63	0.4556313419
64	0.4550642559
65	0.4545386535
66	0.4542439164
67	0.4536895001
68	0.4532572543
69	0.4526051096
70	0.4521659233
71	0.4516976308
72	0.4510571215
73	0.4507412478
74	0.4503300805
75	0.4500048797
76	0.4496174809
77	0.4492652648
78	0.4489794945
79	0.4487076827
80	0.4483537067
81	0.4479878463
82	0.4476733762
83	0.4474985838
84	0.4473121248
85	0.4468854972
86	0.4464203151
87	0.4459819564
88	0.4456788227
89	0.4452132363
90	0.4449675862
91	0.4446261488
92	0.4443336466
93	0.4440382009
94	0.4437223446
95	0.4434208892
96	0.4430630644
97	0.4427846017
98	0.4425763833
99	0.442301794
