iter	Passed	Remaining
0	18	1792
1	22	1110
2	26	848
3	30	725
4	33	643
5	38	597
6	42	559
7	45	523
8	49	502
9	53	481
10	58	474
11	63	462
12	66	447
13	71	436
14	74	424
15	78	411
16	82	403
17	86	391
18	90	386
19	94	378
20	98	370
21	102	363
22	106	355
23	110	348
24	113	341
25	118	335
26	121	329
27	125	322
28	130	318
29	134	314
30	139	310
31	144	306
32	148	300
33	152	296
34	157	291
35	161	286
36	165	281
37	168	275
38	172	269
39	176	264
40	180	259
41	184	254
42	188	249
43	192	244
44	196	239
45	200	234
46	204	230
47	207	224
48	211	219
49	215	215
50	219	210
51	223	206
52	226	201
53	231	196
54	234	191
55	238	187
56	241	182
57	245	177
58	250	173
59	253	168
60	256	164
61	259	159
62	263	154
63	266	150
64	270	145
65	274	141
66	278	137
67	282	133
68	286	128
69	290	124
70	293	119
71	297	115
72	301	111
73	305	107
74	310	103
75	313	99
76	317	94
77	321	90
78	324	86
79	327	81
80	331	77
81	334	73
82	338	69
83	341	65
84	344	60
85	347	56
86	350	52
87	353	48
88	357	44
89	359	39
90	363	35
91	366	31
92	371	27
93	375	23
94	378	19
95	382	15
96	386	11
97	391	7
98	395	3
99	399	0
